GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12061;      Dahme-Spreewald, Landkreis;5 bis unter 10 Jahre;6250;x;x;x;x;x;x;x;6250;3270;2970
12061;      Dahme-Spreewald, Landkreis;10 bis unter 15 Jahre;6040;x;x;x;x;x;x;x;6040;3130;2910
12061;      Dahme-Spreewald, Landkreis;15 bis unter 20 Jahre;5810;1780;1550;860;690;/;/;/;4040;2080;1960
12061;      Dahme-Spreewald, Landkreis;20 bis unter 25 Jahre;8280;6660;6160;3420;2740;500;/;250;1620;560;1060
12061;      Dahme-Spreewald, Landkreis;25 bis unter 30 Jahre;8460;7540;7130;3670;3460;410;/;/;920;420;500
12061;      Dahme-Spreewald, Landkreis;30 bis unter 35 Jahre;8810;8130;7750;4050;3700;380;/;/;680;/;440
12061;      Dahme-Spreewald, Landkreis;35 bis unter 40 Jahre;8700;8070;7760;4030;3730;310;/;/;630;/;400
12061;      Dahme-Spreewald, Landkreis;40 bis unter 45 Jahre;12650;11870;11510;5900;5610;370;/;/;770;250;520
12061;      Dahme-Spreewald, Landkreis;45 bis unter 50 Jahre;15590;14450;13960;7380;6590;490;310;/;1140;470;670
12061;      Dahme-Spreewald, Landkreis;50 bis unter 55 Jahre;14110;12570;12020;6310;5710;540;300;240;1540;650;890
